,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
182,Equity,1464.14,1510.13,1629.28,1658.42,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
183,Paid-up Capital,670.79,670.79,670.79,670.79,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
184,Revenue,1565.12,1607.74,1738.07,1719.52,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
185,Net Profit,191.60,141.82,119.55,29.14,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
186,EPS (Baht),0.22,0.16,0.12,0.03,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
187,ROA(%),16.20,10.89,9.01,2.10,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
188,ROE(%),13.70,9.54,7.62,1.77,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
189,Net Profit Margin(%),12.24,8.82,6.88,1.69,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
190,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
191,Last Price(Baht),2.46,1.89,1.22,0.78,1.37,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
192,Market Cap.,2357.33,1811.12,1169.08,747.45,1312.82,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
193,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
194,P/E,13.56,10.90,12.47,17.75,45.05,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
195,P/BV,1.65,1.21,0.73,0.46,0.79,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
196,Book Value per share (Baht),1.49,1.57,1.67,1.71,1.73,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
197,Dvd. Yield(%),1.22,4.23,4.10,,,APURE,Agripure Holdings PCL,Consumer Defensive,Farm Products,718.699,-,0.75,THB
198,Assets,2082.11,1831.02,1974.46,2326.39,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
199,Liabilities,277.60,98.79,134.67,643.10,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
200,Equity,1804.51,1732.23,1839.79,1683.29,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
201,Paid-up Capital,1130.00,1130.00,1308.07,1308.07,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
202,Revenue,3489.97,2461.06,1570.92,1997.19,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
203,Net Profit,42.70,-72.28,-72.32,-156.50,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
204,EPS (Baht),0.01,-0.02,-0.02,-0.03,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
205,ROA(%),2.45,-2.12,-3.63,-6.90,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
206,ROE(%),2.40,-4.09,-4.05,-8.88,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
207,Net Profit Margin(%),1.22,-2.94,-4.60,-7.84,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
208,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
209,Last Price(Baht),0.67,0.67,0.67,0.30,0.25,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
210,Market Cap.,-,-,-,1569.69,1308.07,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
211,F/S Period (As of date),31/12/2015,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
212,P/E,-,-,-,,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
213,P/BV,-,-,-,0.92,0.78,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
214,Book Value per share (Baht),0.39,0.39,0.36,0.32,0.32,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
215,Dvd. Yield(%),-,-,-,,,AIE,AI Energy PCL,Energy,Oil & Gas Refining & Marketing,1569.688,-,0.3,THB
216,Assets,1712.71,1756.98,1850.06,1905.74,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
217,Liabilities,279.03,300.81,298.69,286.00,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
218,Equity,1433.68,1456.17,1551.38,1619.73,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
219,Paid-up Capital,149.91,149.91,149.91,149.91,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
220,Revenue,1620.16,1584.01,1671.77,1696.77,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
221,Net Profit,182.54,127.87,140.72,133.15,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
222,EPS (Baht),1.22,0.85,0.94,0.89,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
223,ROA(%),13.90,9.13,9.68,8.80,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
224,ROE(%),13.21,8.85,9.36,8.40,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
225,Net Profit Margin(%),11.27,8.07,8.42,7.85,,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
226,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
227,Last Price(Baht),35.75,22.80,17.70,17.90,12.60,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
228,Market Cap.,5359.26,3417.93,2653.39,2683.38,1888.86,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
229,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
230,P/E,28.63,28.37,17.11,17.83,14.19,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
231,P/BV,3.85,2.42,1.74,1.68,1.17,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
232,Book Value per share (Baht),9.30,9.42,10.19,10.68,10.80,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
233,Dvd. Yield(%),1.54,2.76,2.49,2.68,3.57,AHC,Aikchol Hospital PCL,Healthcare,Medical Care Facilities,2638.403,2.73,17.6,THB
234,Assets,7249.05,7997.14,7894.79,9064.21,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
235,Liabilities,3589.68,3723.80,3233.42,4425.86,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
236,Equity,3114.90,3629.83,3992.79,3829.43,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
237,Paid-up Capital,1411.84,1509.87,1578.72,1578.72,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
238,Revenue,689.40,777.43,806.09,783.05,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
239,Net Profit,-107.84,-231.89,-144.35,-164.96,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
240,EPS (Baht),-0.02,-0.04,-0.02,-0.03,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
241,ROA(%),-1.02,-2.96,-1.73,-1.95,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
242,ROE(%),-3.51,-6.88,-3.79,-4.22,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
243,Net Profit Margin(%),-15.64,-29.83,-17.91,-21.07,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
244,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
245,Last Price(Baht),2.60,2.30,1.68,1.19,0.84,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
246,Market Cap.,14683.14,13890.82,10609.00,7514.71,5304.50,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
247,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
248,P/E,,,,,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
249,P/BV,4.92,3.81,2.62,1.94,1.39,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
250,Book Value per share (Baht),0.54,0.60,0.64,0.61,0.61,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
251,Dvd. Yield(%),0.28,0.41,0.38,,,AIRA,AIRA Capital PCL,Financial Services,Capital Markets,7893.598,-,1.25,THB
252,Assets,2244.64,2779.88,2502.62,2556.46,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
253,Liabilities,1705.17,2234.58,1976.40,2028.09,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
254,Equity,539.46,545.30,526.22,528.38,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
255,Paid-up Capital,400.00,400.00,400.00,400.00,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
256,Revenue,189.59,220.93,230.83,230.61,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
257,Net Profit,50.76,53.27,48.92,42.16,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
258,EPS (Baht),0.03,0.03,0.03,0.03,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
259,ROA(%),2.78,2.20,1.96,1.92,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
260,ROE(%),9.14,9.82,9.13,8.00,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
261,Net Profit Margin(%),26.78,24.11,21.19,18.28,,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
262,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
263,Last Price(Baht),0.55,0.88,0.65,0.65,0.58,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
264,Market Cap.,880.00,1408.00,1040.00,1040.00,928.00,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
265,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
266,P/E,17.83,38.65,15.94,25.42,18.42*,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
267,P/BV,1.61,2.57,1.85,1.88,1.76,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
268,Book Value per share (Baht),0.34,0.34,0.35,0.35,0.33,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
269,Dvd. Yield(%),1.82,6.02,5.31,4.62,4.31,AF,AIRA Factoring PCL,Financial Services,Credit Services,1040.0,3.85,0.65,THB
270,Assets,172216.39,178409.94,187708.55,198381.56,200511.88,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
271,Liabilities,50637.84,46721.24,43439.43,43842.92,38655.54,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
272,Equity,121321.87,131376.25,143902.78,153899.11,161158.22,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
273,Paid-up Capital,14285.70,14285.70,14285.70,14285.70,14285.70,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
274,Revenue,52783.34,56744.27,62135.93,64994.07,17116.76,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
275,Net Profit,19571.46,20683.60,25170.76,25026.37,7334.72,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
276,EPS (Baht),13.70,1.45,1.76,1.75,0.51,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
277,ROA(%),15.55,15.62,17.56,16.73,17.18,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
278,ROE(%),17.03,16.37,18.29,16.81,16.69,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
279,Net Profit Margin(%),37.08,36.45,40.51,38.51,42.85,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
280,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
281,Last Price(Baht),398.00,68.00,64.25,74.25,61.00,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
282,Market Cap.,568570.86,971427.60,917856.22,1060713.22,871427.70,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
283,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
284,P/E,29.05,46.97,36.47,42.38,33.54,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
285,P/BV,4.69,7.39,6.38,6.89,5.41,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
286,Book Value per share (Baht),84.93,9.20,10.07,10.77,11.28,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
287,Dvd. Yield(%),1.72,1.26,1.63,1.41,1.72,AOT,Airports Of Thailand PLC,Industrials,Airports & Air Services,1060713.225,1.41,74.25,THB
288,Assets,3011.84,1460.23,1192.01,1114.36,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
289,Liabilities,1145.54,201.32,99.71,265.07,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
290,Equity,1616.91,1212.48,1028.36,816.15,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
291,Paid-up Capital,421.04,424.03,424.03,424.03,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
292,Revenue,2558.05,682.43,685.11,403.75,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
293,Net Profit,355.46,-409.77,-186.91,-370.24,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
294,EPS (Baht),0.09,-0.10,-0.04,-0.09,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
295,ROA(%),24.99,-14.63,-10.32,-32.78,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
296,ROE(%),25.30,-28.97,-16.68,-40.15,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
297,Net Profit Margin(%),13.90,-60.05,-27.28,-91.70,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
298,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
299,Last Price(Baht),1.92,0.54,0.26,0.21,0.13,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
300,Market Cap.,7671.74,2289.76,1102.48,890.46,551.24,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
301,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
302,P/E,26.40,,,,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
303,P/BV,5.01,1.79,0.91,1.00,0.68,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
304,Book Value per share (Baht),0.38,0.30,0.29,0.21,0.19,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
305,Dvd. Yield(%),,,,,,AJA,AJ Advance Technology PCL,Technology,Consumer Electronics,890.462,-,0.21,THB
306,Assets,575.40,604.31,639.14,631.25,672.46,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
307,Liabilities,108.22,109.52,110.54,97.76,146.04,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
308,Equity,467.18,494.79,528.60,533.49,526.42,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
309,Paid-up Capital,202.00,202.00,202.00,202.00,202.00,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
310,Revenue,531.10,545.55,564.32,437.28,90.84,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
311,Net Profit,54.17,54.15,60.98,31.30,-7.07,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
312,EPS (Baht),0.13,0.14,0.15,0.08,-0.02,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
313,ROA(%),12.27,11.69,12.81,6.27,3.68,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
314,ROE(%),11.93,11.26,11.92,5.89,2.91,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
315,Net Profit Margin(%),10.20,9.93,10.81,7.16,-7.79,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
316,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
317,Last Price(Baht),2.38,2.10,1.98,1.05,0.98,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
318,Market Cap.,961.52,848.40,799.92,424.20,395.92,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
319,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
320,P/E,18.39,14.81,15.55,9.96,25.59*,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
321,P/BV,2.12,1.75,1.58,0.81,0.74,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
322,Book Value per share (Baht),1.12,1.20,1.26,1.29,1.32,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
323,Dvd. Yield(%),2.94,3.33,3.54,6.86,3.27,AKP,Akkhie Prakarn PCL,Industrials,Waste Management,420.16,6.92,1.04,THB
324,Assets,,,,7631.62,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
325,Liabilities,,,,5651.60,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
326,Equity,,,,1980.00,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
327,Paid-up Capital,,,,560.00,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
328,Revenue,,,,2918.22,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
329,Net Profit,,,,501.09,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
330,EPS (Baht),,,,0.98,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
331,ROA(%),,,,10.20,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
332,ROE(%),,,,36.41,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
333,Net Profit Margin(%),,,,17.17,,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
334,Statistics as of,,,,30/12/2019,12/05/2020,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
335,Last Price(Baht),,,,3.98,3.00,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
336,Market Cap.,,,,2228.80,1680.00,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
337,F/S Period (As of date),,,,30/09/2019,31/12/2019,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
338,P/E,,,,4.71,3.35,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
339,P/BV,,,,1.22,0.85,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
340,Book Value per share (Baht),,,,3.26,3.54,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
341,Dvd. Yield(%),,,,,3.33,ALL,All Inspire Development PCL,Real Estate,Real Estate - Development,2217.6,-,3.96,THB
342,Assets,900.04,953.03,1048.32,1120.77,1084.77,ALLA,Alla PCL,Industrials,Industrial Distribution,810.0,5.93,1.35,THB
343,Liabilities,171.70,176.39,237.76,255.66,206.12,ALLA,Alla PCL,Industrials,Industrial Distribution,810.0,5.93,1.35,THB
344,Equity,728.34,776.64,810.56,865.11,878.65,ALLA,Alla PCL,Industrials,Industrial Distribution,810.0,5.93,1.35,THB
345,Paid-up Capital,300.00,300.00,300.00,300.00,300.00,ALLA,Alla PCL,Industrials,Industrial Distribution,810.0,5.93,1.35,THB
346,Revenue,607.46,620.96,677.44,865.38,127.48,ALLA,Alla PCL,Industrials,Industrial Distribution,810.0,5.93,1.35,THB
